cluster_id,post_id,latitude,longitude,street_name,street_num,blockface_id,cap_color,schedule_hash
C00005,360-02050,37.7830096,-122.4614568,CLEMENT ST,205,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02070,37.783008,-122.4614923,CLEMENT ST,207,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02080,37.7831513,-122.4616127,CLEMENT ST,208,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02090,37.7830064,-122.4615263,CLEMENT ST,209,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02100,37.7831486,-122.4616729,CLEMENT ST,210,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02110,37.7830047,-122.4615629,CLEMENT ST,211,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02170,37.7829998,-122.4616696,CLEMENT ST,217,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02180,37.7831391,-122.4618791,CLEMENT ST,218,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02190,37.7829981,-122.4617069,CLEMENT ST,219,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02200,37.783136,-122.4619465,CLEMENT ST,220,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02220,37.7831317,-122.4620404,CLEMENT ST,222,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02230,37.7829949,-122.4617774,CLEMENT ST,223,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02240,37.7831282,-122.4621156,CLEMENT ST,224,360022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02250,37.7829931,-122.461816,CLEMENT ST,225,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02270,37.7829915,-122.4618499,CLEMENT ST,227,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00005,360-02290,37.7829897,-122.4618892,CLEMENT ST,229,360021,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13600,37.7633168,-122.4597483,03RD AVE,"1,360",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13620,37.7632985,-122.4597471,03RD AVE,"1,362",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13640,37.7632735,-122.4597453,03RD AVE,"1,364",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13660,37.7632527,-122.4597439,03RD AVE,"1,366",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13680,37.7632311,-122.4597424,03RD AVE,"1,368",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13700,37.7632048,-122.4597405,03RD AVE,"1,370",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13720,37.7631802,-122.4597388,03RD AVE,"1,372",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13740,37.7631605,-122.4597374,03RD AVE,"1,374",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13800,37.7631317,-122.4597354,03RD AVE,"1,380",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00006,103-13820,37.7631097,-122.4597339,03RD AVE,"1,382",103132,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03040,37.7829079,-122.4622031,04TH AVE,304,104032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03070,37.7828461,-122.4623354,04TH AVE,307,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03090,37.7828099,-122.4623328,04TH AVE,309,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03110,37.7827755,-122.4623303,04TH AVE,311,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03130,37.7827385,-122.4623276,04TH AVE,313,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03150,37.7827019,-122.462325,04TH AVE,315,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03170,37.7826661,-122.4623224,04TH AVE,317,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,104-03190,37.7826321,-122.4623199,04TH AVE,319,104031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-02860,37.7833103,-122.4633057,05TH AVE,286,105022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-02880,37.7832684,-122.4633028,05TH AVE,288,105022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-02900,37.7832366,-122.4633005,05TH AVE,290,105022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-02920,37.7831961,-122.4632976,05TH AVE,292,105022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-02940,37.783163,-122.4632953,05TH AVE,294,105022,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-03030,37.7827855,-122.4634056,05TH AVE,303,105031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-03040,37.7828825,-122.4632747,05TH AVE,304,105032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-03060,37.7828321,-122.4632711,05TH AVE,306,105032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-03080,37.7827679,-122.4632665,05TH AVE,308,105032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,105-03100,37.7827112,-122.4632623,05TH AVE,310,105032,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
C00007,360-03010,37.7829666,-122.462396,CLEMENT ST,301,360031,Grey,fb4f3139e5459593b8988e759560717a551d2a0f
